Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13506,JP Morgan,"Private Client Banker - Washington & I-10- Palm Desert, CA",﻿Payments,30,Fintech
13507,JP Morgan,CCB - Teller - Part Time - Rockland - Hire Ahead (G8),Big Data,42,Fintech
13508,JP Morgan,CCB - Teller - Part Time - Rockland - Hire Ahead (G8),Big Data,42,Fintech
13509,JP Morgan,CCB - Teller - Part Time - Rockland - Hire Ahead (G8),Big Data,42,Fintech
13510,JP Morgan,CCB - Teller - Part Time - Rockland - Hire Ahead (G8),Big Data,42,Fintech
13511,JP Morgan,CCB - Teller - Part Time - Rockland - Hire Ahead (G8),Big Data,42,Fintech
13512,JP Morgan,Branch Manager - Draper/Park City area,Big Data,46,Fintech
13513,JP Morgan,"Chase Wealth Management Private Client Advisor - Sun City West, AZ",Big Data,29,Fintech
13514,JP Morgan,Business Operations Analyst (WFM Admin Implementation Team),Non-FinTech,7,Nonfintech
13515,JP Morgan,Business Operations Analyst I (WFM Admin Design Team),Non-FinTech,13,Nonfintech
13516,JP Morgan,Business Operations Analyst I (WFM Admin Design Team),Non-FinTech,13,Nonfintech
13517,JP Morgan,CIB - Data & Document Preparation Processor,﻿Payments,23,Fintech
13518,JP Morgan,Business Relationship Manager III - Business Banking,﻿Payments,26,Fintech
13519,JP Morgan,CCB - Real Estate & Location Strategy Lead - VP,Big Data,41,Fintech
13520,JP Morgan,CCB - Real Estate & Location Strategy Lead - VP,Big Data,41,Fintech
13521,JP Morgan,CIB - Global Commodities â NGL Trader US Oil Associate/Analyst - Houston,Non-FinTech,9,Nonfintech
13522,JP Morgan,"Vice President, OTC Derivatives Valuations",﻿Payments,16,Fintech
13523,JP Morgan,"Lead Teller - Operations Specialist Trainee - Oklahoma Market - Tulsa, OK",Big Data,31,Fintech
13524,JP Morgan,Java/J2EE Software Engineer,Blockchain,33,Fintech
13525,JP Morgan,Information Security Manager,Blockchain,49,Fintech
